Filename:[anno]	 Range: 2402c14000-2402c28000	 Memory Size: 0.08 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402c28000-2402c2c000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402c2c000-2402e04000	 Memory Size: 1.84 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402e04000-2402e0c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402e0c000-2402f78000	 Memory Size: 1.42 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402f78000-2402f7c000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2402f7c000-2403004000	 Memory Size: 0.53 MB	 Active Pages: 0
Filename:[anno]	 Range: 2403004000-240300c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 240300c000-2403204000	 Memory Size: 1.97 MB	 Active Pages: 0
Filename:[anno]	 Range: 2403204000-240320c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 240320c000-2403270000	 Memory Size: 0.39 MB	 Active Pages: 0
Filename:[anno]	 Range: 2403270000-2403274000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2403274000-24032b8000	 Memory Size: 0.27 MB	 Active Pages: 0
Filename:[anno]	 Range: 24032b8000-24032bc000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 24032bc000-2403404000	 Memory Size: 1.28 MB	 Active Pages: 0
Filename:[anno]	 Range: 2403404000-240340c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 240340c000-24034c8000	 Memory Size: 0.73 MB	 Active Pages: 0
Filename:[anno]	 Range: 24034c8000-24034cc000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 24034cc000-24034d8000	 Memory Size: 0.05 MB	 Active Pages: 0
Filename:[anno]	 Range: 24034d8000-24034dc000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 24034dc000-2403558000	 Memory Size: 0.48 MB	 Active Pages: 0
Filename:[anno]	 Range: 2403558000-240355c000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 240355c000-2403604000	 Memory Size: 0.66 MB	 Active Pages: 0
